timestamp,open,high,low,close,volume
2025-07-31 19:55:00,218.7900,219.0000,218.5500,218.6099,135175
2025-07-31 19:50:00,218.5400,218.8000,218.5300,218.7750,67466
2025-07-31 19:45:00,218.5700,218.6500,218.2301,218.5500,97560
2025-07-31 19:40:00,218.7050,218.7300,218.3800,218.5400,41827
2025-07-31 19:35:00,218.6400,218.7800,218.5500,218.7100,52202
2025-07-31 19:30:00,218.7000,218.7000,218.3300,218.6800,61687
2025-07-31 19:25:00,218.4000,218.8000,218.4000,218.7000,61779
2025-07-31 19:20:00,218.3700,218.7500,218.2000,218.4310,135371
2025-07-31 19:15:00,218.9500,219.0000,218.3000,218.3500,83216
2025-07-31 19:10:00,218.5999,218.9500,217.9900,218.9500,109488
2025-07-31 19:05:00,219.4600,219.5000,218.5300,218.6000,106605
2025-07-31 19:00:00,219.3303,219.5000,219.1000,219.4600,104097
2025-07-31 18:55:00,218.4000,219.3300,218.3500,219.3300,95190
2025-07-31 18:50:00,218.6597,218.6600,217.8800,218.4000,102694
2025-07-31 18:45:00,218.5000,218.8000,218.2800,218.6600,66139
2025-07-31 18:40:00,218.8200,218.8200,217.7500,218.3600,95813
2025-07-31 18:35:00,219.5000,219.6100,217.8600,218.8200,163675
2025-07-31 18:30:00,218.6000,219.9900,218.4792,219.6000,202784
2025-07-31 18:25:00,217.8199,218.5500,217.5600,218.5000,91302
2025-07-31 18:20:00,217.7900,217.8515,217.6500,217.8199,69345
2025-07-31 18:15:00,217.2900,217.8500,217.2100,217.7899,117150
2025-07-31 18:10:00,218.3000,218.5500,217.0100,217.3000,306816
2025-07-31 18:05:00,217.5500,218.3400,217.4000,218.2999,240370
2025-07-31 18:00:00,216.2500,218.0000,216.2500,217.6000,279164
2025-07-31 17:55:00,217.7300,218.0000,215.5000,216.2900,556588
2025-07-31 17:50:00,219.4600,219.5000,215.5000,217.5600,866837
2025-07-31 17:45:00,220.4250,220.9900,219.3300,219.5000,254136
2025-07-31 17:40:00,221.2100,221.8000,219.2000,220.3900,472122
2025-07-31 17:35:00,221.5000,222.0300,219.4400,221.2200,670639
2025-07-31 17:30:00,225.9000,225.9000,216.9000,221.5000,1232341
2025-07-31 17:25:00,225.9200,226.5000,225.5000,225.8217,222322
2025-07-31 17:20:00,226.0100,226.5000,225.5000,225.8000,142733
2025-07-31 17:15:00,227.7700,233.4800,224.9400,226.1050,428400
2025-07-31 17:10:00,229.2500,229.6900,227.5000,227.8500,197899
2025-07-31 17:05:00,229.8500,230.0500,228.5500,229.3000,169851
2025-07-31 17:00:00,229.1000,237.3327,219.5741,229.9300,276058
2025-07-31 16:55:00,229.0700,229.3500,220.3740,229.1000,273067
2025-07-31 16:50:00,228.2900,234.1100,220.5015,229.1000,384397
2025-07-31 16:45:00,226.6800,228.3900,226.5900,228.2500,356990
2025-07-31 16:40:00,226.9600,227.5200,226.6000,226.7000,301317
2025-07-31 16:35:00,226.9311,234.1100,226.3000,226.9201,505844
2025-07-31 16:30:00,226.2700,234.1100,225.5995,227.0000,751999
2025-07-31 16:25:00,225.1999,234.6896,223.9000,226.0300,529384
2025-07-31 16:20:00,224.6001,234.1100,223.9000,225.2000,895378
2025-07-31 16:15:00,228.6500,234.1100,222.5300,224.9400,1536661
2025-07-31 16:10:00,227.8403,234.1100,227.2500,228.6491,1040857
2025-07-31 16:05:00,233.3700,234.1100,227.0000,227.8750,1717580
2025-07-31 16:00:00,234.1000,242.0000,228.6200,233.3300,19952670
2025-07-31 15:55:00,234.2100,234.5200,233.9736,234.1100,3849247
2025-07-31 15:50:00,234.4000,234.6300,233.9500,234.2000,2102912
2025-07-31 15:45:00,234.7500,235.1500,234.0600,234.4291,1902849
2025-07-31 15:40:00,233.6000,234.8500,233.6000,234.7400,1298446
2025-07-31 15:35:00,233.8600,233.9700,233.5100,233.5800,1007521
2025-07-31 15:30:00,233.4800,234.0050,233.4707,233.8400,998959
2025-07-31 15:25:00,233.4600,234.1000,233.4100,233.4500,1025594
2025-07-31 15:20:00,233.9400,233.9900,233.3800,233.4400,1140934
2025-07-31 15:15:00,234.1500,234.1600,233.7700,233.9465,848325
2025-07-31 15:10:00,234.1500,234.3800,234.0000,234.1650,770454
2025-07-31 15:05:00,234.2700,234.4600,234.0300,234.1550,660192
2025-07-31 15:00:00,234.1700,234.4700,234.0650,234.2793,647403
2025-07-31 14:55:00,234.4200,234.5500,234.1000,234.1505,605452
2025-07-31 14:50:00,234.5800,234.6959,234.2727,234.4100,531365
2025-07-31 14:45:00,234.5400,234.6100,234.2600,234.5650,551998
2025-07-31 14:40:00,234.6300,234.8300,234.4200,234.5300,514413
2025-07-31 14:35:00,234.8300,235.0000,234.5100,234.6400,554751
2025-07-31 14:30:00,234.3600,234.8600,234.2900,234.8212,707622
2025-07-31 14:25:00,233.8200,234.4300,233.7100,234.3700,798773
2025-07-31 14:20:00,233.5950,234.0500,233.4800,233.8366,628667
2025-07-31 14:15:00,233.6300,233.7000,233.2000,233.5950,567158
2025-07-31 14:10:00,233.7400,234.1000,233.5100,233.6700,478906
2025-07-31 14:05:00,233.8200,233.9996,233.5250,233.7376,524026
2025-07-31 14:00:00,233.3100,234.0200,233.2950,233.8000,581990
2025-07-31 13:55:00,233.5800,233.6300,233.1100,233.3325,840837
2025-07-31 13:50:00,234.4500,234.4500,233.5800,233.5800,753384
2025-07-31 13:45:00,234.7200,234.8700,234.4000,234.4400,448822
2025-07-31 13:40:00,234.7350,234.9100,234.5600,234.7100,424804
2025-07-31 13:35:00,234.4500,234.7200,234.3200,234.7150,505619
2025-07-31 13:30:00,234.4550,234.6400,234.1900,234.4200,533700
2025-07-31 13:25:00,234.6900,234.7099,234.2000,234.4700,551129
2025-07-31 13:20:00,235.3500,235.4000,234.5000,234.6900,533780
2025-07-31 13:15:00,235.2708,235.4300,234.9600,235.3500,643176
