time,SlowD,SlowK
2025-07-31 19:55,65.1154,67.0257
2025-07-31 19:50,63.7439,69.4709
2025-07-31 19:45,60.4855,58.8498
2025-07-31 19:40,56.9291,62.9112
2025-07-31 19:35,47.0772,59.6956
2025-07-31 19:30,40.4116,48.1807
2025-07-31 19:25,39.2774,33.3554
2025-07-31 19:20,51.2932,39.6986
2025-07-31 19:15,63.2942,44.7783
2025-07-31 19:10,71.8879,69.4027
2025-07-31 19:05,66.4461,75.7017
2025-07-31 19:00,53.1241,70.5595
2025-07-31 18:55,44.7269,53.0772
2025-07-31 18:50,46.7843,35.7357
2025-07-31 18:45,61.7145,45.3677
2025-07-31 18:40,74.5834,59.2494
2025-07-31 18:35,81.5101,80.5266
2025-07-31 18:30,75.5940,83.9742
2025-07-31 18:25,66.6114,80.0295
2025-07-31 18:20,54.3052,62.7784
2025-07-31 18:15,44.0937,57.0262
2025-07-31 18:10,32.3337,43.1111
2025-07-31 18:05,24.5177,32.1438
2025-07-31 18:00,23.0526,21.7463
2025-07-31 17:55,25.7475,19.6630
2025-07-31 17:50,29.2102,27.7484
2025-07-31 17:45,27.0857,29.8310
2025-07-31 17:40,25.2672,30.0513
2025-07-31 17:35,24.3789,21.3747
2025-07-31 17:30,30.4136,24.3757
2025-07-31 17:25,37.6379,27.3863
2025-07-31 17:20,46.2518,39.4789
2025-07-31 17:15,52.7154,46.0485
2025-07-31 17:10,57.9243,53.2281
2025-07-31 17:05,58.7403,58.8695
2025-07-31 17:00,53.5007,61.6754
2025-07-31 16:55,44.3168,55.6759
2025-07-31 16:50,36.7376,43.1507
2025-07-31 16:45,33.6484,34.1237
2025-07-31 16:40,31.0803,32.9385
2025-07-31 16:35,26.1980,33.8829
2025-07-31 16:30,19.0243,26.4194
2025-07-31 16:25,13.4629,18.2917
2025-07-31 16:20,13.1467,12.3618
2025-07-31 16:15,17.6506,9.7351
2025-07-31 16:10,27.2073,17.3430
2025-07-31 16:05,36.8244,25.8735
2025-07-31 16:00,49.8127,38.4053
2025-07-31 15:55,56.6472,46.1944
2025-07-31 15:50,59.4889,64.8383
2025-07-31 15:45,46.5564,58.9090
2025-07-31 15:40,33.3630,54.7193
2025-07-31 15:35,18.9692,26.0408
2025-07-31 15:30,16.0493,19.3287
2025-07-31 15:25,16.8408,11.5381
2025-07-31 15:20,20.8276,17.2810
2025-07-31 15:15,20.8890,21.7034
2025-07-31 15:10,19.6428,23.4983
2025-07-31 15:05,22.0501,17.4653
2025-07-31 15:00,33.5204,17.9648
2025-07-31 14:55,51.4608,30.7202
2025-07-31 14:50,68.6364,51.8761
2025-07-31 14:45,81.6538,71.7860
2025-07-31 14:40,87.0049,82.2472
2025-07-31 14:35,83.4609,90.9282
2025-07-31 14:30,71.0975,87.8393
2025-07-31 14:25,55.8664,71.6151
2025-07-31 14:20,44.8593,53.8381
2025-07-31 14:15,36.5078,42.1460
2025-07-31 14:10,28.0919,38.5938
2025-07-31 14:05,20.4588,28.7838
2025-07-31 14:00,19.4972,16.8981
2025-07-31 13:55,27.2019,15.6944
2025-07-31 13:50,33.4005,25.8991
2025-07-31 13:45,33.7303,40.0120
2025-07-31 13:40,26.7625,34.2904
2025-07-31 13:35,28.6101,26.8884
2025-07-31 13:30,38.8888,19.1088
2025-07-31 13:25,58.1645,39.8330
2025-07-31 13:20,64.5235,57.7247
2025-07-31 13:15,59.0192,76.9358
2025-07-31 13:10,40.6694,58.9100
2025-07-31 13:05,26.6990,41.2117
2025-07-31 13:00,18.6239,21.8866
2025-07-31 12:55,21.4769,16.9989
2025-07-31 12:50,34.2815,16.9862
2025-07-31 12:45,55.1146,30.4455
2025-07-31 12:40,75.9143,55.4129
2025-07-31 12:35,89.1239,79.4852
2025-07-31 12:30,94.4837,92.8449
2025-07-31 12:25,92.2207,95.0416
2025-07-31 12:20,87.1519,95.5648
2025-07-31 12:15,82.2577,86.0558
2025-07-31 12:10,80.1686,79.8351
2025-07-31 12:05,80.6652,80.8822
2025-07-31 12:00,76.8667,79.7887
2025-07-31 11:55,70.6984,81.3248
2025-07-31 11:50,60.4004,69.4866
2025-07-31 11:45,50.9052,61.2839
2025-07-31 11:40,40.5323,50.4307
2025-07-31 11:35,30.4561,41.0009
2025-07-31 11:30,19.9982,30.1653
2025-07-31 11:25,13.9712,20.2020
2025-07-31 11:20,12.8400,9.6272
2025-07-31 11:15,20.1525,12.0842
2025-07-31 11:10,34.4542,16.8085
2025-07-31 11:05,53.3753,31.5648
2025-07-31 11:00,66.6785,54.9895
2025-07-31 10:55,63.9562,73.5717
2025-07-31 10:50,45.9776,71.4743
2025-07-31 10:45,25.1722,46.8227
2025-07-31 10:40,14.3095,19.6358
2025-07-31 10:35,12.6701,9.0583
2025-07-31 10:30,16.4923,14.2346
2025-07-31 10:25,25.5622,14.7174
2025-07-31 10:20,43.1770,20.5249
2025-07-31 10:15,64.4001,41.4442
2025-07-31 10:10,74.0999,67.5618
2025-07-31 10:05,69.6070,84.1943
2025-07-31 10:00,52.7017,70.5435
2025-07-31 09:55,36.2917,54.0832
2025-07-31 09:50,22.8845,33.4784
2025-07-31 09:45,17.3978,21.3134
2025-07-31 09:40,16.1459,13.8616
2025-07-31 09:35,17.7413,17.0184
2025-07-31 09:30,19.9067,17.5578
2025-07-31 09:25,25.6832,18.6477
2025-07-31 09:20,37.4360,23.5145
2025-07-31 09:15,48.8407,34.8875
2025-07-31 09:10,54.0803,53.9060
2025-07-31 09:05,45.7027,57.7287
2025-07-31 09:00,37.5039,50.6061
2025-07-31 08:55,39.0705,28.7733
2025-07-31 08:50,57.7652,33.1322
2025-07-31 08:45,78.3939,55.3060
2025-07-31 08:40,90.4554,84.8574
2025-07-31 08:35,91.7534,95.0181
2025-07-31 08:30,89.1026,91.4907
2025-07-31 08:25,87.2285,88.7512
2025-07-31 08:20,85.5888,87.0659
2025-07-31 08:15,79.7088,85.8683
2025-07-31 08:10,70.4204,83.8323
2025-07-31 08:05,57.2627,69.4257
2025-07-31 08:00,45.7277,58.0032
2025-07-31 07:55,37.2973,44.3593
2025-07-31 07:50,30.9091,34.8205
2025-07-31 07:45,28.4876,32.7122
2025-07-31 07:40,22.3806,25.1947
2025-07-31 07:35,20.1612,27.5558
2025-07-31 07:30,16.8035,14.3912
2025-07-31 07:25,22.3919,18.5366
2025-07-31 07:20,29.2351,17.4827
2025-07-31 07:15,35.7015,31.1565
2025-07-31 07:10,40.2117,39.0661
2025-07-31 07:05,43.2019,36.8818
2025-07-31 07:00,51.3279,44.6873
2025-07-31 06:55,52.6285,48.0368
2025-07-31 06:50,50.6080,61.2596
2025-07-31 06:45,43.7684,48.5891
2025-07-31 06:40,47.1689,41.9753
2025-07-31 06:35,56.1321,40.7407
2025-07-31 06:30,69.2845,58.7907
2025-07-31 06:25,73.9839,68.8648
2025-07-31 06:20,78.1401,80.1981
2025-07-31 06:15,75.9144,72.8889
2025-07-31 06:10,79.0141,81.3333
2025-07-31 06:05,75.7147,73.5211
2025-07-31 06:00,73.1288,82.1878
2025-07-31 05:55,62.0411,71.4351
2025-07-31 05:50,50.9534,65.7634
2025-07-31 05:45,39.2567,48.9247
2025-07-31 05:40,38.1810,38.1720
2025-07-31 05:35,40.1418,30.6735
2025-07-31 05:30,43.9091,45.6974
2025-07-31 05:25,37.0316,44.0546
2025-07-31 05:20,32.0686,41.9753
2025-07-31 05:15,30.7557,25.0650
2025-07-31 05:10,35.7232,29.1655
2025-07-31 05:05,38.5671,38.0368
2025-07-31 05:00,38.2435,39.9674
2025-07-31 04:55,39.5205,37.6972
2025-07-31 04:50,39.0995,37.0659
2025-07-31 04:45,34.4961,43.7984
2025-07-31 04:40,30.0728,36.4341
2025-07-31 04:35,35.3572,23.2558
2025-07-31 04:30,53.6858,30.5284
2025-07-31 04:25,68.3437,52.2874
2025-07-31 04:20,76.0954,78.2416
2025-07-31 04:15,74.7880,74.5019
2025-07-31 04:10,73.2305,75.5426
2025-07-31 04:05,66.4240,74.3196
2025-07-31 04:00,55.8665,69.8292
2025-07-30 19:55,42.8465,55.1233
2025-07-30 19:50,35.6083,42.6471
2025-07-30 19:45,36.4301,30.7692
2025-07-30 19:40,44.8435,33.4087
2025-07-30 19:35,52.0299,45.1122
2025-07-30 19:30,53.6782,56.0096
2025-07-30 19:25,52.4278,54.9679
2025-07-30 19:20,51.9289,50.0571
2025-07-30 19:15,55.2362,52.2584
2025-07-30 19:10,61.0666,53.4711
2025-07-30 19:05,72.4171,59.9790
2025-07-30 19:00,82.3390,69.7496
2025-07-30 18:55,86.1744,87.5226
2025-07-30 18:50,80.4876,89.7448
