time,SlowD,SlowK
2025-04-30 19:55,70.4404,62.1938
2025-04-30 19:50,82.4064,67.6249
2025-04-30 19:45,92.5240,81.5026
2025-04-30 19:40,98.2280,98.0917
2025-04-30 19:35,95.7307,97.9777
2025-04-30 19:30,92.0258,98.6146
2025-04-30 19:25,83.5824,90.5998
2025-04-30 19:20,80.4056,86.8631
2025-04-30 19:15,79.7359,73.2843
2025-04-30 19:10,87.7642,81.0694
2025-04-30 19:05,93.1912,84.8541
2025-04-30 19:00,96.5364,97.3691
2025-04-30 18:55,88.1031,97.3505
2025-04-30 18:50,72.2542,94.8896
2025-04-30 18:45,49.1455,72.0692
2025-04-30 18:40,36.7226,49.8039
2025-04-30 18:35,35.6502,25.5634
2025-04-30 18:30,48.8904,34.8006
2025-04-30 18:25,63.1161,46.5865
2025-04-30 18:20,72.3635,65.2841
2025-04-30 18:15,72.7472,77.4778
2025-04-30 18:10,58.9852,74.3285
2025-04-30 18:05,42.7798,66.4352
2025-04-30 18:00,26.9599,36.1920
2025-04-30 17:55,31.4507,25.7123
2025-04-30 17:50,46.8603,18.9755
2025-04-30 17:45,65.6092,49.6643
2025-04-30 17:40,67.3155,71.9411
2025-04-30 17:35,55.5492,75.2221
2025-04-30 17:30,43.7452,54.7832
2025-04-30 17:25,40.8658,36.6423
2025-04-30 17:20,45.2502,39.8101
2025-04-30 17:15,48.4367,46.1448
2025-04-30 17:10,49.7212,49.7958
2025-04-30 17:05,48.1358,49.3694
2025-04-30 17:00,51.7036,49.9985
2025-04-30 16:55,60.4203,45.0397
2025-04-30 16:50,77.5538,60.0727
2025-04-30 16:45,89.6754,76.1485
2025-04-30 16:40,95.8984,96.4403
2025-04-30 16:35,94.4492,96.4376
2025-04-30 16:30,92.8557,94.8174
2025-04-30 16:25,88.6130,92.0926
2025-04-30 16:20,84.5314,91.6571
2025-04-30 16:15,78.9514,82.0893
2025-04-30 16:10,79.4522,79.8479
2025-04-30 16:05,81.7554,74.9171
2025-04-30 16:00,87.4306,83.5916
2025-04-30 15:55,86.4203,86.7576
2025-04-30 15:50,77.5944,91.9426
2025-04-30 15:45,57.5327,80.5606
2025-04-30 15:40,43.1834,60.2800
2025-04-30 15:35,37.9031,31.7576
2025-04-30 15:30,47.8623,37.5127
2025-04-30 15:25,51.1731,44.4389
2025-04-30 15:20,51.2764,61.6353
2025-04-30 15:15,39.5593,47.4451
2025-04-30 15:10,33.5765,44.7489
2025-04-30 15:05,30.4939,26.4840
2025-04-30 15:00,34.2690,29.4966
2025-04-30 14:55,33.5415,35.5010
2025-04-30 14:50,28.5506,37.8094
2025-04-30 14:45,25.3429,27.3141
2025-04-30 14:40,29.7924,20.5283
2025-04-30 14:35,40.1378,28.1864
2025-04-30 14:30,51.2583,40.6625
2025-04-30 14:25,57.8102,51.5646
2025-04-30 14:20,55.7512,61.5476
2025-04-30 14:15,47.6076,60.3184
2025-04-30 14:10,45.1732,45.3876
2025-04-30 14:05,53.9777,37.1168
2025-04-30 14:00,72.0126,53.0153
2025-04-30 13:55,83.8847,71.8011
2025-04-30 13:50,90.9662,91.2215
2025-04-30 13:45,91.7723,88.6316
2025-04-30 13:40,90.5336,93.0453
2025-04-30 13:35,82.6120,93.6398
2025-04-30 13:30,65.8968,84.9157
2025-04-30 13:25,46.9782,69.2807
2025-04-30 13:20,33.1106,43.4940
2025-04-30 13:15,35.0567,28.1599
2025-04-30 13:10,51.3034,27.6780
2025-04-30 13:05,69.3817,49.3323
2025-04-30 13:00,77.0473,76.9000
2025-04-30 12:55,72.9318,81.9128
2025-04-30 12:50,60.5376,72.3292
2025-04-30 12:45,45.3305,64.5534
2025-04-30 12:40,25.0939,44.7302
2025-04-30 12:35,13.4209,26.7080
2025-04-30 12:30,10.4907,3.8435
2025-04-30 12:25,17.3094,9.7113
2025-04-30 12:20,24.7760,17.9173
2025-04-30 12:15,32.8751,24.2995
2025-04-30 12:10,41.7464,32.1113
2025-04-30 12:05,52.6470,42.2146
2025-04-30 12:00,64.3432,50.9132
2025-04-30 11:55,74.1531,64.8132
2025-04-30 11:50,78.4901,77.3031
2025-04-30 11:45,74.5219,80.3431
2025-04-30 11:40,68.1281,77.8240
2025-04-30 11:35,63.4721,65.3986
2025-04-30 11:30,66.5915,61.1618
