time,SlowD,SlowK
2025-10-20 19:55,68.3101,55.0425
2025-10-20 19:50,80.5090,65.4673
2025-10-20 19:45,91.6656,84.4203
2025-10-20 19:40,96.7948,91.6393
2025-10-20 19:35,99.3986,98.9373
2025-10-20 19:30,99.5646,99.8078
2025-10-20 19:25,99.4461,99.4505
2025-10-20 19:20,99.5438,99.4356
2025-10-20 19:15,99.5455,99.4522
2025-10-20 19:10,99.5029,99.7437
2025-10-20 19:05,99.3590,99.4407
2025-10-20 19:00,99.4405,99.3242
2025-10-20 18:55,96.2637,99.3122
2025-10-20 18:50,91.1652,99.6851
2025-10-20 18:45,85.8870,89.7938
2025-10-20 18:40,87.2728,84.0166
2025-10-20 18:35,92.4788,83.8504
2025-10-20 18:30,97.6240,93.9514
2025-10-20 18:25,99.2041,99.6346
2025-10-20 18:20,94.4129,99.2859
2025-10-20 18:15,78.9329,98.6918
2025-10-20 18:10,62.1630,85.2611
2025-10-20 18:05,52.7331,52.8460
2025-10-20 18:00,63.4048,48.3819
2025-10-20 17:55,77.2501,56.9715
2025-10-20 17:50,89.8842,84.8611
2025-10-20 17:45,94.7742,89.9177
2025-10-20 17:40,97.8412,94.8738
2025-10-20 17:35,99.1606,99.5311
2025-10-20 17:30,98.9537,99.1186
2025-10-20 17:25,98.9351,98.8323
2025-10-20 17:20,99.0882,98.9102
2025-10-20 17:15,99.2048,99.0628
2025-10-20 17:10,99.1098,99.2916
2025-10-20 17:05,98.7976,99.2600
2025-10-20 17:00,91.4857,98.7777
2025-10-20 16:55,75.8930,98.3550
2025-10-20 16:50,53.9173,77.3243
2025-10-20 16:45,40.9227,51.9998
2025-10-20 16:40,37.2403,32.4277
2025-10-20 16:35,39.2542,38.3407
2025-10-20 16:30,36.9090,40.9523
2025-10-20 16:25,36.9633,38.4696
2025-10-20 16:20,41.1579,31.3051
2025-10-20 16:15,49.9663,41.1153
2025-10-20 16:10,55.7056,51.0532
2025-10-20 16:05,61.1837,57.7302
2025-10-20 16:00,65.4459,58.3333
2025-10-20 15:55,70.5515,67.4876
2025-10-20 15:50,68.6812,70.5167
2025-10-20 15:45,65.6784,73.6503
2025-10-20 15:40,55.4170,61.8766
2025-10-20 15:35,43.0714,61.5083
2025-10-20 15:30,31.0535,42.8661
2025-10-20 15:25,33.4336,24.8399
2025-10-20 15:20,52.5732,25.4545
2025-10-20 15:15,72.8627,50.0065
2025-10-20 15:10,86.0117,82.2585
2025-10-20 15:05,88.2005,86.3230
2025-10-20 15:00,91.5546,89.4535
2025-10-20 14:55,89.9082,88.8249
2025-10-20 14:50,80.7624,96.3854
2025-10-20 14:45,58.8265,84.5143
2025-10-20 14:40,37.3167,61.3877
2025-10-20 14:35,26.9132,30.5775
