time,RSI
2025-10-23 05:25,50.6796
2025-10-23 05:20,50.8460
2025-10-23 05:15,50.9197
2025-10-23 05:10,50.9102
2025-10-23 05:05,50.8014
2025-10-23 05:00,50.7966
2025-10-23 04:55,50.7541
2025-10-23 04:50,50.7833
2025-10-23 04:45,50.8320
2025-10-23 04:40,50.8038
2025-10-23 04:35,50.8572
2025-10-23 04:30,50.8056
2025-10-23 04:25,50.8009
2025-10-23 04:20,50.8154
2025-10-23 04:15,50.8154
2025-10-23 04:10,50.8781
2025-10-23 04:05,50.8548
2025-10-23 04:00,50.2904
2025-10-22 19:55,50.2785
2025-10-22 19:50,50.2760
2025-10-22 19:45,50.2570
2025-10-22 19:40,50.2715
2025-10-22 19:35,50.2858
2025-10-22 19:30,50.3144
2025-10-22 19:25,50.3573
2025-10-22 19:20,50.3385
2025-10-22 19:15,50.3010
2025-10-22 19:10,50.3386
2025-10-22 19:05,50.2781
2025-10-22 19:00,50.2618
2025-10-22 18:55,50.2384
2025-10-22 18:50,50.2596
2025-10-22 18:45,50.3067
2025-10-22 18:40,50.3184
2025-10-22 18:35,50.3184
2025-10-22 18:30,50.3723
2025-10-22 18:25,50.3770
2025-10-22 18:20,50.3309
2025-10-22 18:15,50.2802
2025-10-22 18:10,50.2710
2025-10-22 18:05,50.3315
2025-10-22 18:00,50.2165
2025-10-22 17:55,50.1705
2025-10-22 17:50,50.1129
2025-10-22 17:45,50.1592
2025-10-22 17:40,50.1615
2025-10-22 17:35,50.1477
2025-10-22 17:30,50.1477
2025-10-22 17:25,50.1203
2025-10-22 17:20,50.1021
2025-10-22 17:15,50.1474
2025-10-22 17:10,50.1936
2025-10-22 17:05,50.2074
2025-10-22 17:00,46.2392
2025-10-22 16:55,50.2132
2025-10-22 16:50,50.2180
2025-10-22 16:45,50.2053
2025-10-22 16:40,50.2293
2025-10-22 16:35,50.1660
2025-10-22 16:30,50.1081
2025-10-22 16:25,50.0976
2025-10-22 16:20,50.1134
2025-10-22 16:15,50.1661
2025-10-22 16:10,50.1978
2025-10-22 16:05,50.2558
2025-10-22 16:00,50.1827
2025-10-22 15:55,50.1461
2025-10-22 15:50,50.2829
2025-10-22 15:45,50.1420
2025-10-22 15:40,50.2209
2025-10-22 15:35,50.2157
2025-10-22 15:30,50.3473
2025-10-22 15:25,50.2756
2025-10-22 15:20,50.1911
2025-10-22 15:15,50.0972
2025-10-22 15:10,50.1339
2025-10-22 15:05,49.8407
2025-10-22 15:00,49.8616
2025-10-22 14:55,49.8038
2025-10-22 14:50,49.8299
2025-10-22 14:45,49.9132
2025-10-22 14:40,49.9341
2025-10-22 14:35,49.8191
2025-10-22 14:30,49.8320
2025-10-22 14:25,49.8502
2025-10-22 14:20,49.6699
2025-10-22 14:15,49.6122
2025-10-22 14:10,49.6923
2025-10-22 14:05,49.5612
2025-10-22 14:00,49.6490
2025-10-22 13:55,49.4282
2025-10-22 13:50,49.6877
2025-10-22 13:45,49.6080
2025-10-22 13:40,49.7119
2025-10-22 13:35,50.0413
2025-10-22 13:30,50.0676
2025-10-22 13:25,49.9732
2025-10-22 13:20,50.0036
2025-10-22 13:15,50.0361
2025-10-22 13:10,50.2725
2025-10-22 13:05,50.2203
2025-10-22 13:00,50.3733
2025-10-22 12:55,50.6367
2025-10-22 12:50,50.5189
2025-10-22 12:45,50.4772
2025-10-22 12:40,50.5250
2025-10-22 12:35,50.5568
2025-10-22 12:30,50.7003
2025-10-22 12:25,50.5030
2025-10-22 12:20,50.7055
2025-10-22 12:15,50.6223
2025-10-22 12:10,50.7452
2025-10-22 12:05,50.7666
2025-10-22 12:00,50.9380
2025-10-22 11:55,51.0509
2025-10-22 11:50,50.9061
2025-10-22 11:45,50.7295
2025-10-22 11:40,50.6931
2025-10-22 11:35,50.5993
2025-10-22 11:30,50.6046
2025-10-22 11:25,50.3955
2025-10-22 11:20,50.4091
2025-10-22 11:15,50.2178
2025-10-22 11:10,50.3879
2025-10-22 11:05,50.3774
2025-10-22 11:00,50.4892
2025-10-22 10:55,50.0679
2025-10-22 10:50,49.8865
2025-10-22 10:45,49.8690
2025-10-22 10:40,49.9558
2025-10-22 10:35,49.9080
2025-10-22 10:30,49.9345
2025-10-22 10:25,50.0882
2025-10-22 10:20,50.3792
2025-10-22 10:15,50.2071
2025-10-22 10:10,50.6658
2025-10-22 10:05,50.5358
2025-10-22 10:00,50.6446
2025-10-22 09:55,50.6582
2025-10-22 09:50,50.5949
2025-10-22 09:45,50.6869
2025-10-22 09:40,50.7902
2025-10-22 09:35,50.6581
2025-10-22 09:30,50.9365
2025-10-22 09:25,50.9365
2025-10-22 09:20,50.8310
2025-10-22 09:15,51.0062
2025-10-22 09:10,50.9271
2025-10-22 09:05,50.8928
2025-10-22 09:00,50.9666
2025-10-22 08:55,50.9719
2025-10-22 08:50,50.9353
2025-10-22 08:45,50.9300
2025-10-22 08:40,50.9463
2025-10-22 08:35,50.9202
2025-10-22 08:30,50.9202
2025-10-22 08:25,51.0394
2025-10-22 08:20,51.0557
2025-10-22 08:15,51.1099
2025-10-22 08:10,50.9983
2025-10-22 08:05,50.8028
2025-10-22 08:00,51.6193
2025-10-22 07:55,50.9326
2025-10-22 07:50,50.9493
2025-10-22 07:45,50.9881
2025-10-22 07:40,50.8974
2025-10-22 07:35,51.0638
2025-10-22 07:30,50.8983
2025-10-22 07:25,51.2780
2025-10-22 07:20,51.1175
2025-10-22 07:15,51.3426
2025-10-22 07:10,51.4331
2025-10-22 07:05,51.5805
2025-10-22 07:00,51.5645
2025-10-22 06:55,51.5379
2025-10-22 06:50,51.5326
2025-10-22 06:45,51.4848
2025-10-22 06:40,51.4317
2025-10-22 06:35,51.4598
2025-10-22 06:30,51.5723
2025-10-22 06:25,51.6173
2025-10-22 06:20,51.5751
2025-10-22 06:15,51.3208
2025-10-22 06:10,51.3155
2025-10-22 06:05,51.2092
2025-10-22 06:00,51.3154
2025-10-22 05:55,51.1717
2025-10-22 05:50,51.2164
2025-10-22 05:45,51.3788
2025-10-22 05:40,51.3097
2025-10-22 05:35,51.3882
2025-10-22 05:30,51.4443
2025-10-22 05:25,51.5004
2025-10-22 05:20,51.4211
2025-10-22 05:15,51.5051
2025-10-22 05:10,51.5163
2025-10-22 05:05,51.6284
2025-10-22 05:00,51.6732
2025-10-22 04:55,51.7013
2025-10-22 04:50,51.7517
2025-10-22 04:45,51.7573
2025-10-22 04:40,51.7469
2025-10-22 04:35,51.6687
2025-10-22 04:30,51.7859
2025-10-22 04:25,51.7391
2025-10-22 04:20,51.6871
2025-10-22 04:15,51.6611
2025-10-22 04:10,51.6888
2025-10-22 04:05,51.9059
2025-10-22 04:00,51.7555
2025-10-21 19:55,51.4211
2025-10-21 19:50,51.3643
2025-10-21 19:45,51.3910
2025-10-21 19:40,51.4076
2025-10-21 19:35,51.4187
2025-10-21 19:30,51.3612
2025-10-21 19:25,51.4053
2025-10-21 19:20,51.3949
2025-10-21 19:15,51.2958
2025-10-21 19:10,51.2906
2025-10-21 19:05,51.1077
2025-10-21 19:00,51.0343
2025-10-21 18:55,50.8238
2025-10-21 18:50,50.7763
2025-10-21 18:45,50.6547
2025-10-21 18:40,50.8509
2025-10-21 18:35,50.7928
