time,SlowD,SlowK
2025-06-30 19:55,65.8128,52.5788
2025-06-30 19:50,70.7036,81.5261
2025-06-30 19:45,57.1735,63.3333
2025-06-30 19:40,53.1468,67.2515
2025-06-30 19:35,46.9577,40.9357
2025-06-30 19:30,50.0749,51.2531
2025-06-30 19:25,43.4332,48.6842
2025-06-30 19:20,33.0522,50.2874
2025-06-30 19:15,23.2060,31.3279
2025-06-30 19:10,20.0927,17.5414
2025-06-30 19:05,23.2557,20.7487
2025-06-30 19:00,24.8552,21.9878
2025-06-30 18:55,26.3929,27.0305
2025-06-30 18:50,29.0027,25.5473
2025-06-30 18:45,34.2142,26.6010
2025-06-30 18:40,48.4176,34.8598
2025-06-30 18:35,63.9275,41.1817
2025-06-30 18:30,82.6732,69.2113
2025-06-30 18:25,91.9482,81.3894
2025-06-30 18:20,97.2103,97.4187
2025-06-30 18:15,95.1196,97.0363
2025-06-30 18:10,87.6866,97.1759
2025-06-30 18:05,77.9613,91.1466
2025-06-30 18:00,72.3996,74.7374
2025-06-30 17:55,78.0365,68.0000
2025-06-30 17:50,88.5437,74.4614
2025-06-30 17:45,96.9657,91.6481
2025-06-30 17:40,99.6493,99.5218
2025-06-30 17:35,99.6921,99.7271
2025-06-30 17:30,97.4743,99.6989
2025-06-30 17:25,93.0849,99.6503
2025-06-30 17:20,86.5954,93.0737
2025-06-30 17:15,82.3216,86.5306
2025-06-30 17:10,80.2760,80.1818
2025-06-30 17:05,82.2582,80.2525
2025-06-30 17:00,83.5235,80.3938
2025-06-30 16:55,83.9181,86.1283
2025-06-30 16:50,79.0762,84.0484
2025-06-30 16:45,67.8937,81.5774
2025-06-30 16:40,50.9443,71.6026
2025-06-30 16:35,30.7226,50.5010
2025-06-30 16:30,17.3833,30.7292
2025-06-30 16:25,10.9180,10.9375
2025-06-30 16:20,13.7000,10.4832
2025-06-30 16:15,18.5016,11.3333
2025-06-30 16:10,29.5777,19.2834
2025-06-30 16:05,43.6869,24.8883
2025-06-30 16:00,59.7087,44.5613
2025-06-30 15:55,62.7901,61.6111
2025-06-30 15:50,54.5004,72.9537
2025-06-30 15:45,43.1243,53.8056
2025-06-30 15:40,44.6336,36.7421
2025-06-30 15:35,53.0212,38.8254
2025-06-30 15:30,57.0106,58.3333
2025-06-30 15:25,54.4457,61.9048
2025-06-30 15:20,55.8384,50.7937
2025-06-30 15:15,66.6328,50.6388
2025-06-30 15:10,77.9973,66.0828
2025-06-30 15:05,78.4886,83.1768
2025-06-30 15:00,67.2905,84.7322
2025-06-30 14:55,47.8515,67.5566
2025-06-30 14:50,31.2645,49.5825
2025-06-30 14:45,18.4489,26.4155
2025-06-30 14:40,19.2312,17.7954
2025-06-30 14:35,27.1334,11.1358
2025-06-30 14:30,39.6909,28.7626
2025-06-30 14:25,41.4643,41.5018
2025-06-30 14:20,35.5356,48.8083
2025-06-30 14:15,27.0616,34.0827
2025-06-30 14:10,29.3002,23.7157
2025-06-30 14:05,40.4041,23.3864
2025-06-30 14:00,56.2093,40.7985
2025-06-30 13:55,66.4184,57.0274
2025-06-30 13:50,70.8746,70.8021
2025-06-30 13:45,72.3700,71.4257
2025-06-30 13:40,74.8148,70.3959
2025-06-30 13:35,77.0756,75.2883
2025-06-30 13:30,74.1468,78.7603
2025-06-30 13:25,63.8354,77.1783
2025-06-30 13:20,49.1075,66.5019
2025-06-30 13:15,36.0966,47.8260
2025-06-30 13:10,34.7135,32.9945
2025-06-30 13:05,46.2712,27.4692
2025-06-30 13:00,62.5222,43.6768
2025-06-30 12:55,67.1516,67.6676
2025-06-30 12:50,56.4208,76.2222
2025-06-30 12:45,36.3239,57.5650
2025-06-30 12:40,21.8580,35.4752
2025-06-30 12:35,13.1565,15.9316
2025-06-30 12:30,11.0970,14.1671
2025-06-30 12:25,10.9517,9.3708
2025-06-30 12:20,17.5477,9.7532
2025-06-30 12:15,24.3914,13.7311
2025-06-30 12:10,28.7293,29.1589
2025-06-30 12:05,22.3556,30.2842
2025-06-30 12:00,17.6038,26.7449
2025-06-30 11:55,14.1100,10.0377
2025-06-30 11:50,19.5216,16.0288
2025-06-30 11:45,25.2343,16.2636
2025-06-30 11:40,34.6069,26.2722
2025-06-30 11:35,38.4534,33.1670
2025-06-30 11:30,39.3160,44.3815
2025-06-30 11:25,38.1825,37.8116
2025-06-30 11:20,40.5263,35.7548
2025-06-30 11:15,39.9375,40.9812
2025-06-30 11:10,30.2333,44.8427
2025-06-30 11:05,23.2697,33.9885
2025-06-30 11:00,26.3608,11.8687
2025-06-30 10:55,42.5030,23.9519
2025-06-30 10:50,54.1393,43.2619
2025-06-30 10:45,57.4243,60.2951
2025-06-30 10:40,52.3953,58.8610
2025-06-30 10:35,43.2624,53.1167
2025-06-30 10:30,40.9352,45.2081
2025-06-30 10:25,45.4809,31.4624
2025-06-30 10:20,59.7225,46.1352
2025-06-30 10:15,63.0613,58.8452
2025-06-30 10:10,60.0354,74.1872
2025-06-30 10:05,45.4428,56.1514
2025-06-30 10:00,36.8705,49.7677
2025-06-30 09:55,33.8589,30.4094
2025-06-30 09:50,38.0488,30.4345
2025-06-30 09:45,45.2908,40.7328
2025-06-30 09:40,45.3154,42.9791
2025-06-30 09:35,43.4754,52.1604
2025-06-30 09:30,34.4510,40.8066
2025-06-30 09:25,31.8360,37.4592
2025-06-30 09:20,37.8070,25.0870
2025-06-30 09:15,51.7946,32.9618
