time,SlowD,SlowK
2025-09-17 06:20,55.7505,68.0317
2025-09-17 06:15,44.5090,58.8517
2025-09-17 06:10,34.8124,40.3680
2025-09-17 06:05,30.8009,34.3074
2025-09-17 06:00,29.4762,29.7619
2025-09-17 05:55,37.6667,28.3333
2025-09-17 05:50,51.5714,30.3333
2025-09-17 05:45,67.5304,54.3333
2025-09-17 05:40,74.2526,70.0476
2025-09-17 05:35,73.7857,78.2102
2025-09-17 05:30,70.2968,74.5001
2025-09-17 05:25,70.7182,68.6469
2025-09-17 05:20,74.6184,67.7436
2025-09-17 05:15,80.7239,75.7642
2025-09-17 05:10,83.1482,80.3475
2025-09-17 05:05,82.5425,86.0600
2025-09-17 05:00,72.1615,83.0369
2025-09-17 04:55,60.1792,78.5307
2025-09-17 04:50,44.6137,54.9170
2025-09-17 04:45,34.2446,47.0899
2025-09-17 04:40,24.2541,31.8342
2025-09-17 04:35,22.7025,23.8095
2025-09-17 04:30,26.3899,17.1184
2025-09-17 04:25,35.3846,27.1795
2025-09-17 04:20,41.5385,34.8718
2025-09-17 04:15,46.0342,44.1026
2025-09-17 04:10,47.7958,45.6410
2025-09-17 04:05,46.5317,48.3589
2025-09-17 04:00,51.3018,49.3874
2025-09-16 19:55,54.2973,41.8488
2025-09-16 19:50,67.4357,62.6692
2025-09-16 19:45,64.6565,58.3740
2025-09-16 19:40,58.3160,81.2638
2025-09-16 19:35,39.0936,54.3316
2025-09-16 19:30,28.4740,39.3526
2025-09-16 19:25,23.4531,23.5965
2025-09-16 19:20,19.2251,22.4728
2025-09-16 19:15,18.6786,24.2899
2025-09-16 19:10,21.4947,10.9127
2025-09-16 19:05,34.4048,20.8333
2025-09-16 19:00,45.0192,32.7381
2025-09-16 18:55,50.6654,49.6429
2025-09-16 18:50,46.1925,52.6767
2025-09-16 18:45,39.7765,49.6767
2025-09-16 18:40,33.2573,36.2243
2025-09-16 18:35,32.5714,33.4286
2025-09-16 18:30,33.0952,30.1190
2025-09-16 18:25,36.6531,34.1667
2025-09-16 18:20,46.0648,35.0000
2025-09-16 18:15,61.4158,40.7925
2025-09-16 18:10,80.8175,62.4019
2025-09-16 18:05,92.5334,81.0531
2025-09-16 18:00,97.7064,98.9976
2025-09-16 17:55,96.5220,97.5493
2025-09-16 17:50,95.8333,96.5722
2025-09-16 17:45,95.4962,95.4445
2025-09-16 17:40,95.9379,95.4833
2025-09-16 17:35,96.4931,95.5608
2025-09-16 17:30,97.2264,96.7696
2025-09-16 17:25,97.3536,97.1487
2025-09-16 17:20,97.4148,97.7609
2025-09-16 17:15,97.2547,97.1511
2025-09-16 17:10,97.4481,97.3324
2025-09-16 17:05,97.7141,97.2806
2025-09-16 17:00,98.0677,97.7314
2025-09-16 16:55,98.1978,98.1303
2025-09-16 16:50,90.1770,98.3415
2025-09-16 16:45,75.0275,98.1217
2025-09-16 16:40,57.3448,74.0678
2025-09-16 16:35,50.9782,52.8931
2025-09-16 16:30,51.7531,45.0734
2025-09-16 16:25,50.1404,54.9681
2025-09-16 16:20,40.9615,55.2177
2025-09-16 16:15,28.5388,40.2353
2025-09-16 16:10,23.2797,27.4314
2025-09-16 16:05,25.2988,17.9498
2025-09-16 16:00,32.3551,24.4579
2025-09-16 15:55,33.1833,33.4888
2025-09-16 15:50,27.4966,39.1185
2025-09-16 15:45,18.6955,26.9427
2025-09-16 15:40,12.7507,16.4286
2025-09-16 15:35,13.8152,12.7153
2025-09-16 15:30,16.4955,9.1081
2025-09-16 15:25,26.3111,19.6222
2025-09-16 15:20,33.0510,20.7561
2025-09-16 15:15,43.0525,38.5549
2025-09-16 15:10,48.2916,39.8420
2025-09-16 15:05,54.0745,50.7605
2025-09-16 15:00,52.6931,54.2724
2025-09-16 14:55,47.4452,57.1905
2025-09-16 14:50,40.8129,46.6162
2025-09-16 14:45,37.9150,38.5289
2025-09-16 14:40,34.5973,37.2937
2025-09-16 14:35,29.5008,37.9224
2025-09-16 14:30,22.0926,28.5757
2025-09-16 14:25,18.7428,22.0043
2025-09-16 14:20,21.0276,15.6980
2025-09-16 14:15,34.2563,18.5262
2025-09-16 14:10,54.4786,28.8586
2025-09-16 14:05,74.7933,55.3839
2025-09-16 14:00,85.7579,79.1931
2025-09-16 13:55,82.0098,89.8030
2025-09-16 13:50,66.4564,88.2777
2025-09-16 13:45,48.1318,67.9487
2025-09-16 13:40,41.9285,43.1429
2025-09-16 13:35,45.4179,33.3038
2025-09-16 13:30,52.2875,49.3390
2025-09-16 13:25,45.5939,53.6109
2025-09-16 13:20,37.6415,53.9127
2025-09-16 13:15,26.5363,29.2580
2025-09-16 13:10,25.9527,29.7536
2025-09-16 13:05,22.5096,20.5972
2025-09-16 13:00,23.9335,27.5075
2025-09-16 12:55,22.5070,19.4242
2025-09-16 12:50,24.0501,24.8688
2025-09-16 12:45,28.7666,23.2280
2025-09-16 12:40,39.0916,24.0535
2025-09-16 12:35,52.2339,39.0183
2025-09-16 12:30,60.4696,54.2030
2025-09-16 12:25,57.4522,63.4804
2025-09-16 12:20,49.2427,63.7255
2025-09-16 12:15,40.0921,45.1508
2025-09-16 12:10,40.2769,38.8518
2025-09-16 12:05,43.1618,36.2737
2025-09-16 12:00,40.9473,45.7052
2025-09-16 11:55,34.1118,47.5065
2025-09-16 11:50,27.4964,29.6302
2025-09-16 11:45,33.5376,25.1987
2025-09-16 11:40,45.7644,27.6603
2025-09-16 11:35,63.8155,47.7540
2025-09-16 11:30,74.4368,61.8790
2025-09-16 11:25,81.9369,81.8134
2025-09-16 11:20,79.5344,79.6180
2025-09-16 11:15,78.1827,84.3793
2025-09-16 11:10,72.1017,74.6059
2025-09-16 11:05,65.2950,75.5628
2025-09-16 11:00,52.0242,66.1365
2025-09-16 10:55,37.1188,54.1857
2025-09-16 10:50,27.4741,35.7504
2025-09-16 10:45,31.1610,21.4205
2025-09-16 10:40,48.2779,25.2516
2025-09-16 10:35,68.6159,46.8110
2025-09-16 10:30,82.5526,72.7711
2025-09-16 10:25,88.6866,86.2657
2025-09-16 10:20,84.9346,88.6211
2025-09-16 10:15,73.4681,91.1731
2025-09-16 10:10,57.3442,75.0097
2025-09-16 10:05,52.6150,54.2214
2025-09-16 10:00,53.4016,42.8015
2025-09-16 09:55,51.1912,60.8221
2025-09-16 09:50,36.3070,56.5812
2025-09-16 09:45,22.6584,36.1702
2025-09-16 09:40,24.2818,16.1696
2025-09-16 09:35,37.7158,15.6354
2025-09-16 09:30,58.3888,41.0403
2025-09-16 09:25,71.5999,56.4717
2025-09-16 09:20,82.4438,77.6544
2025-09-16 09:15,87.3933,80.6735
2025-09-16 09:10,91.2823,89.0034
2025-09-16 09:05,91.9186,92.5028
2025-09-16 09:00,89.3383,92.3408
2025-09-16 08:55,87.6501,90.9122
2025-09-16 08:50,86.6250,84.7619
2025-09-16 08:45,90.2763,87.2763
2025-09-16 08:40,90.4630,87.8368
2025-09-16 08:35,87.4314,95.7159
2025-09-16 08:30,78.6895,87.8363
2025-09-16 08:25,72.2577,78.7420
2025-09-16 08:20,68.6994,69.4904
2025-09-16 08:15,71.2873,68.5408
2025-09-16 08:10,74.4218,68.0670
2025-09-16 08:05,79.3913,77.2539
2025-09-16 08:00,77.4237,77.9446
2025-09-16 07:55,72.9737,82.9753
2025-09-16 07:50,64.1513,71.3514
2025-09-16 07:45,62.3252,64.5946
2025-09-16 07:40,62.6251,56.5079
2025-09-16 07:35,62.6697,65.8730
2025-09-16 07:30,53.8553,65.4942
2025-09-16 07:25,44.2483,56.6420
2025-09-16 07:20,38.9895,39.4297
2025-09-16 07:15,37.2691,36.6731
2025-09-16 07:10,34.2962,40.8656
2025-09-16 07:05,28.8336,34.2684
2025-09-16 07:00,27.5008,27.7546
2025-09-16 06:55,28.3148,24.4779
2025-09-16 06:50,34.9374,30.2698
2025-09-16 06:45,45.2853,30.1967
2025-09-16 06:40,63.9488,44.3456
2025-09-16 06:35,78.6219,61.3135
2025-09-16 06:30,88.9896,86.1872
2025-09-16 06:25,91.2127,88.3649
2025-09-16 06:20,89.5494,92.4166
2025-09-16 06:15,79.2188,92.8565
2025-09-16 06:10,57.9889,83.3752
2025-09-16 06:05,35.5851,61.4247
2025-09-16 06:00,25.8381,29.1667
2025-09-16 05:55,32.3994,16.1638
2025-09-16 05:50,49.7126,32.1839
2025-09-16 05:45,61.0607,48.8506
2025-09-16 05:40,66.6117,68.1034
2025-09-16 05:35,61.6262,66.2281
2025-09-16 05:30,53.4559,65.5034
2025-09-16 05:25,44.4172,53.1471
2025-09-16 05:20,39.7874,41.7170
2025-09-16 05:15,35.6321,38.3876
2025-09-16 05:10,32.3506,39.2574
2025-09-16 05:05,29.2926,29.2511
2025-09-16 05:00,31.0374,28.5433
2025-09-16 04:55,32.2245,30.0835
2025-09-16 04:50,34.1765,34.4854
2025-09-16 04:45,39.9091,32.1045
2025-09-16 04:40,52.8308,35.9396
2025-09-16 04:35,67.8200,51.6831
2025-09-16 04:30,79.5164,70.8698
2025-09-16 04:25,85.0292,80.9070
2025-09-16 04:20,86.4566,86.7725
2025-09-16 04:15,85.9811,87.4079
2025-09-16 04:10,84.7985,85.1892
2025-09-16 04:05,85.0315,85.3462
2025-09-16 04:00,85.4478,83.8600
2025-09-15 19:55,87.4673,85.8882
2025-09-15 19:50,89.0612,86.5953
2025-09-15 19:45,90.3610,89.9184
2025-09-15 19:40,83.6675,90.6700
2025-09-15 19:35,69.6723,90.4945
2025-09-15 19:30,52.4606,69.8381
2025-09-15 19:25,49.1813,48.6842
2025-09-15 19:20,57.9532,38.8596
2025-09-15 19:15,66.4198,60.0000
2025-09-15 19:10,60.6790,75.0000
2025-09-15 19:05,47.1313,64.2593
2025-09-15 19:00,37.9662,42.7778
2025-09-15 18:55,36.4555,34.3567
2025-09-15 18:50,37.7193,36.7641
2025-09-15 18:45,37.9955,38.2456
2025-09-15 18:40,45.0000,38.1481
2025-09-15 18:35,52.3275,37.5926
2025-09-15 18:30,63.3261,59.2593
2025-09-15 18:25,58.6057,60.1307
2025-09-15 18:20,50.3268,70.5882
2025-09-15 18:15,42.4837,45.0980
2025-09-15 18:10,43.1373,35.2941
2025-09-15 18:05,49.4314,47.0588
2025-09-15 18:00,51.7763,47.0588
2025-09-15 17:55,62.4742,54.1765
2025-09-15 17:50,77.4167,54.0935
2025-09-15 17:45,92.2708,79.1527
2025-09-15 17:40,98.7718,99.0038
2025-09-15 17:35,92.8805,98.6558
2025-09-15 17:30,78.9155,98.6558
2025-09-15 17:25,55.3719,81.3299
2025-09-15 17:20,37.2932,56.7608
2025-09-15 17:15,28.0986,28.0251
2025-09-15 17:10,33.4430,27.0937
2025-09-15 17:05,40.5823,29.1771
2025-09-15 17:00,48.4492,44.0580
2025-09-15 16:55,51.3558,48.5119
2025-09-15 16:50,50.5291,52.7778
2025-09-15 16:45,44.6485,52.7778
2025-09-15 16:40,35.5044,46.0317
2025-09-15 16:35,28.6188,35.1359
2025-09-15 16:30,28.7748,25.3455
2025-09-15 16:25,33.5336,25.3748
2025-09-15 16:20,42.7192,35.6041
2025-09-15 16:15,54.4214,39.6217
2025-09-15 16:10,66.3019,52.9319
2025-09-15 16:05,69.0371,70.7107
2025-09-15 16:00,56.7803,75.2632
2025-09-15 15:55,40.0665,61.1374
2025-09-15 15:50,25.9190,33.9402
2025-09-15 15:45,20.9632,25.1219
2025-09-15 15:40,16.8698,18.6949
2025-09-15 15:35,20.6685,19.0729
2025-09-15 15:30,33.7938,12.8416
2025-09-15 15:25,58.2853,30.0910
2025-09-15 15:20,79.7815,58.4488
2025-09-15 15:15,91.5637,86.3162
2025-09-15 15:10,87.3275,94.5796
2025-09-15 15:05,70.9323,93.7953
2025-09-15 15:00,45.1476,73.6076
2025-09-15 14:55,22.7897,45.3940
2025-09-15 14:50,9.7110,16.4412
2025-09-15 14:45,5.2504,6.5339
2025-09-15 14:40,8.1233,6.1579
2025-09-15 14:35,13.2759,3.0592
2025-09-15 14:30,24.0978,15.1527
2025-09-15 14:25,33.9453,21.6158
2025-09-15 14:20,49.4196,35.5250
2025-09-15 14:15,64.3754,44.6951
2025-09-15 14:10,75.9104,68.0387
2025-09-15 14:05,78.6966,80.3925
2025-09-15 14:00,78.4849,79.3000
2025-09-15 13:55,82.3414,76.3974
2025-09-15 13:50,86.9770,79.7574
2025-09-15 13:45,85.1190,90.8695
2025-09-15 13:40,69.4291,90.3040
