time,Aroon Down,Aroon Up
2025-03-31 19:55,93.4000,1.8000
2025-03-31 19:50,93.6000,2.0000
2025-03-31 19:45,93.8000,2.2000
2025-03-31 19:40,94.0000,2.4000
2025-03-31 19:35,94.2000,2.6000
2025-03-31 19:30,94.4000,2.8000
2025-03-31 19:25,94.6000,3.0000
2025-03-31 19:20,94.8000,3.2000
2025-03-31 19:15,95.0000,3.4000
2025-03-31 19:10,95.2000,3.6000
2025-03-31 19:05,95.4000,3.8000
2025-03-31 19:00,95.6000,4.0000
2025-03-31 18:55,95.8000,4.2000
2025-03-31 18:50,96.0000,4.4000
2025-03-31 18:45,96.2000,4.6000
2025-03-31 18:40,96.4000,4.8000
2025-03-31 18:35,96.6000,5.0000
2025-03-31 18:30,96.8000,5.2000
2025-03-31 18:25,97.0000,5.4000
2025-03-31 18:20,97.2000,5.6000
2025-03-31 18:15,97.4000,5.8000
2025-03-31 18:10,97.6000,6.0000
2025-03-31 18:05,97.8000,6.2000
2025-03-31 18:00,98.0000,6.4000
2025-03-31 17:55,98.2000,6.6000
2025-03-31 17:50,98.4000,6.8000
2025-03-31 17:45,98.6000,7.0000
2025-03-31 17:40,98.8000,7.2000
2025-03-31 17:35,99.0000,7.4000
2025-03-31 17:30,99.2000,7.6000
2025-03-31 17:25,99.4000,7.8000
2025-03-31 17:20,99.6000,8.0000
2025-03-31 17:15,99.8000,8.2000
2025-03-31 17:10,100.0000,8.4000
2025-03-31 17:05,100.0000,8.6000
2025-03-31 17:00,61.6000,8.8000
2025-03-31 16:55,61.8000,9.0000
2025-03-31 16:50,62.0000,9.2000
2025-03-31 16:45,62.2000,9.4000
2025-03-31 16:40,62.4000,9.6000
2025-03-31 16:35,62.6000,9.8000
2025-03-31 16:30,62.8000,10.0000
2025-03-31 16:25,63.0000,10.2000
2025-03-31 16:20,63.2000,10.4000
2025-03-31 16:15,63.4000,10.6000
2025-03-31 16:10,63.6000,10.8000
2025-03-31 16:05,63.8000,11.0000
2025-03-31 16:00,64.0000,11.2000
2025-03-31 15:55,64.2000,11.4000
2025-03-31 15:50,64.4000,11.6000
2025-03-31 15:45,64.6000,11.8000
2025-03-31 15:40,64.8000,12.0000
2025-03-31 15:35,65.0000,12.2000
2025-03-31 15:30,65.2000,12.4000
2025-03-31 15:25,65.4000,12.6000
2025-03-31 15:20,65.6000,12.8000
2025-03-31 15:15,65.8000,13.0000
2025-03-31 15:10,66.0000,13.2000
2025-03-31 15:05,66.2000,13.4000
2025-03-31 15:00,66.4000,13.6000
2025-03-31 14:55,66.6000,13.8000
2025-03-31 14:50,66.8000,14.0000
2025-03-31 14:45,67.0000,14.2000
2025-03-31 14:40,67.2000,14.4000
2025-03-31 14:35,67.4000,14.6000
2025-03-31 14:30,67.6000,14.8000
2025-03-31 14:25,67.8000,15.0000
2025-03-31 14:20,68.0000,15.2000
2025-03-31 14:15,68.2000,15.4000
2025-03-31 14:10,68.4000,15.6000
2025-03-31 14:05,68.6000,15.8000
2025-03-31 14:00,68.8000,16.0000
2025-03-31 13:55,69.0000,16.2000
2025-03-31 13:50,69.2000,16.4000
2025-03-31 13:45,69.4000,16.6000
