time,RSI
2025-02-28 19:55,49.3608
2025-02-28 19:50,49.3538
2025-02-28 19:45,49.3712
2025-02-28 19:40,49.3486
2025-02-28 19:35,49.3439
2025-02-28 19:30,49.3228
2025-02-28 19:25,49.3479
2025-02-28 19:20,49.3245
2025-02-28 19:15,49.3564
2025-02-28 19:10,49.3190
2025-02-28 19:05,49.3236
2025-02-28 19:00,49.3003
2025-02-28 18:55,49.3138
2025-02-28 18:50,49.3092
2025-02-28 18:45,49.3092
2025-02-28 18:40,49.3226
2025-02-28 18:35,49.2996
2025-02-28 18:30,49.3220
2025-02-28 18:25,49.2990
2025-02-28 18:20,49.3035
2025-02-28 18:15,49.3208
2025-02-28 18:10,49.3099
2025-02-28 18:05,49.3433
2025-02-28 18:00,49.3433
2025-02-28 17:55,49.3543
2025-02-28 17:50,49.3430
2025-02-28 17:45,49.3294
2025-02-28 17:40,49.3382
2025-02-28 17:35,49.3382
2025-02-28 17:30,49.3646
2025-02-28 17:25,49.3821
2025-02-28 17:20,49.3931
2025-02-28 17:15,49.3280
2025-02-28 17:10,49.3280
2025-02-28 17:05,49.2877
2025-02-28 17:00,49.2920
2025-02-28 16:55,49.3137
2025-02-28 16:50,49.2469
2025-02-28 16:45,49.3509
2025-02-28 16:40,49.1723
2025-02-28 16:35,49.2437
2025-02-28 16:30,49.2192
2025-02-28 16:25,49.2058
2025-02-28 16:20,49.1702
2025-02-28 16:15,49.1702
2025-02-28 16:10,49.0857
2025-02-28 16:05,49.0544
2025-02-28 16:00,49.1059
2025-02-28 15:55,48.9279
2025-02-28 15:50,48.0485
2025-02-28 15:45,47.8777
2025-02-28 15:40,47.8222
2025-02-28 15:35,47.6389
2025-02-28 15:30,47.9902
2025-02-28 15:25,47.7876
2025-02-28 15:20,47.7806
2025-02-28 15:15,47.8703
2025-02-28 15:10,47.9590
2025-02-28 15:05,47.8928
2025-02-28 15:00,47.7765
2025-02-28 14:55,47.7182
2025-02-28 14:50,47.7437
