time,SlowD,SlowK
2025-05-30 19:55,72.2222,73.3333
2025-05-30 19:50,62.9800,65.8333
2025-05-30 19:45,53.7378,77.5000
2025-05-30 19:40,34.1869,45.6067
2025-05-30 19:35,24.9856,38.1067
2025-05-30 19:30,17.3583,18.8474
2025-05-30 19:25,14.4224,18.0026
2025-05-30 19:20,15.6437,15.2249
2025-05-30 19:15,18.0503,10.0397
2025-05-30 19:10,25.6111,21.6667
2025-05-30 19:05,34.0185,22.4444
2025-05-30 19:00,44.5926,32.7222
2025-05-30 18:55,47.6274,46.8889
2025-05-30 18:50,37.1437,54.1667
2025-05-30 18:45,19.1526,41.8267
2025-05-30 18:40,8.7568,15.4378
2025-05-30 18:35,12.9954,0.1933
2025-05-30 18:30,29.6490,10.6394
2025-05-30 18:25,40.5198,28.1535
2025-05-30 18:20,39.7145,50.1541
2025-05-30 18:15,29.7866,43.2517
2025-05-30 18:10,24.8931,25.7376
2025-05-30 18:05,32.6279,20.3704
2025-05-30 18:00,41.2745,28.5714
2025-05-30 17:55,48.5946,48.9418
2025-05-30 17:50,46.6275,46.3102
2025-05-30 17:45,51.8341,50.5319
2025-05-30 17:40,55.5816,43.0403
2025-05-30 17:35,62.9293,61.9302
2025-05-30 17:30,59.0704,61.7744
2025-05-30 17:25,56.0240,65.0832
2025-05-30 17:20,52.5627,50.3537
2025-05-30 17:15,54.0448,52.6351
2025-05-30 17:10,57.9831,54.6994
2025-05-30 17:05,65.9521,54.8001
2025-05-30 17:00,72.6776,64.4499
2025-05-30 16:55,77.9926,78.6062
2025-05-30 16:50,78.4483,74.9767
2025-05-30 16:45,82.7646,80.3949
2025-05-30 16:40,79.7907,79.9733
2025-05-30 16:35,70.8967,87.9257
2025-05-30 16:30,54.0031,71.4732
2025-05-30 16:25,40.7621,53.2912
2025-05-30 16:20,32.3788,37.2450
2025-05-30 16:15,29.5717,31.7500
2025-05-30 16:10,30.2955,28.1414
2025-05-30 16:05,33.2395,28.8235
2025-05-30 16:00,36.5360,33.9216
2025-05-30 15:55,37.8524,36.9734
2025-05-30 15:50,38.6089,38.7132
2025-05-30 15:45,43.4578,37.8708
2025-05-30 15:40,49.9508,39.2428
2025-05-30 15:35,60.5742,53.2598
2025-05-30 15:30,67.4689,57.3499
2025-05-30 15:25,74.8983,71.1128
2025-05-30 15:20,78.7469,73.9438
2025-05-30 15:15,82.8605,79.6381
2025-05-30 15:10,86.4428,82.6587
2025-05-30 15:05,89.1196,86.2846
2025-05-30 15:00,88.9130,90.3851
2025-05-30 14:55,88.0282,90.6890
2025-05-30 14:50,83.2757,85.6648
2025-05-30 14:45,81.6661,87.7307
2025-05-30 14:40,79.5824,76.4316
2025-05-30 14:35,84.7980,80.8361
2025-05-30 14:30,87.9175,81.4794
2025-05-30 14:25,91.0387,92.0783
2025-05-30 14:20,88.5740,90.1948
2025-05-30 14:15,81.5069,90.8430
2025-05-30 14:10,71.9074,84.6844
2025-05-30 14:05,65.9071,68.9934
2025-05-30 14:00,66.8162,62.0446
2025-05-30 13:55,67.9771,66.6833
2025-05-30 13:50,62.1844,71.7208
2025-05-30 13:45,55.9250,65.5271
2025-05-30 13:40,53.4064,49.3053
2025-05-30 13:35,62.2621,52.9427
2025-05-30 13:30,71.9094,57.9711
2025-05-30 13:25,82.2053,75.8725
2025-05-30 13:20,83.0564,81.8845
2025-05-30 13:15,78.3052,88.8590
2025-05-30 13:10,63.3210,78.4256
2025-05-30 13:05,47.7257,67.6311
2025-05-30 13:00,33.5212,43.9063
